Issue Type,Summary,Issue ID,Parent ID,Epic Link,Labels,Description
Epic,LibraryLoop Home Feed Platform,1,,,home-feed,"Re-platform to TypeScript Next.js + React with Postgres, real auth, Docker, and the routed Home/Shelves/Catalog/Profile experience."
Story,Project scaffold and TypeScript foundation,10,,LibraryLoop Home Feed Platform,home-feed,"Next.js App Router + strict TS, shared domain/API types, ported visual language. Requirements: 1.1,1.2,1.3,1.4,1.5,1.6,8.5,13.2"
Sub-task,Stand up Next.js App Router app in strict TypeScript,11,10,,home-feed,"Retire prototype IIFE as reference; strict typing; build fails on type errors. Requirements: 1.1,1.2,1.5"
Sub-task,Define shared domain and API contract types,12,10,,home-feed,"Users (member/community), auth identities, sessions, media, library entries, activities, preferences; shared payload types. Requirements: 1.3,1.4,8.5"
Sub-task,Port existing visual language into the front-end,13,10,,home-feed,"Brand, avatars, pills, typography, cover themes, color tokens; component structure for later re-skin. Requirements: 1.6,13.2"
Story,PostgreSQL schema migrations seed and data access,20,,LibraryLoop Home Feed Platform,home-feed,"Schema, versioned migrations, seed, typed data-access layer. Requirements: 10.1,10.2,10.3,10.4,10.5,10.6,9.8,6.1,6.4,8.2"
Sub-task,Define relational schema and initial migration,21,20,,home-feed,"Unified users table, auth_identities, sessions, media, entries, activities, preferences; FKs, status set, rating/review constraints. Requirements: 10.1,10.2,10.3,10.4,9.8,6.1"
Sub-task,Implement typed data-access layer,22,20,,home-feed,"Typed ORM queries (no string SQL); per-environment Postgres driver. Requirements: 10.6,8.2"
Sub-task,Build database seed routine,23,20,,home-feed,"Seed starter catalog as ebook, community users, demo member with hashed password. Requirements: 10.5,6.4"
Story,Local environment and configuration,30,,LibraryLoop Home Feed Platform,home-feed,"Docker Compose Postgres and env-based config with fail-fast. Requirements: 11.1,11.2,11.3,11.4,11.5,12.1,12.2,12.5"
Sub-task,Provide Docker-based local Postgres environment,31,30,,home-feed,"Compose Postgres with persistent volume; env connection; no prod secrets; documented commands. Requirements: 11.1,11.2,11.3,11.4,11.5"
Sub-task,Implement env-based configuration with fail-fast validation,32,30,,home-feed,"Read DB URL and auth secret from env; .env.example; gitignore real env; fail fast when missing. Requirements: 12.1,12.2,12.5"
Story,Authentication sessions and authorization,40,,LibraryLoop Home Feed Platform,home-feed,"bcrypt credentials, revocable DB sessions, register/login/logout, route gating, per-user authz. Requirements: 9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,8.1,8.4"
Sub-task,Implement credential and session services,41,40,,home-feed,"bcrypt hashing in auth identities; hashed-token sessions; verify and revoke; provider-keyed lookups. Requirements: 9.1,9.3,9.5,9.8"
Sub-task,Build registration login and logout endpoints,42,40,,home-feed,"Register member, reject duplicate email, verify login, issue HttpOnly cookie, clear/revoke on logout. Requirements: 9.1,9.2,9.6,8.1"
Sub-task,Enforce route and endpoint protection and per-user authorization,43,40,,home-feed,"Gate routes/endpoints; derive user from session only; restrict to own records. Requirements: 9.4,9.7,8.4"
Story,Backend data API,50,,LibraryLoop Home Feed Platform,home-feed,"Route Handlers for profile, media, library, review, activities with validation and typed responses. Requirements: 8.1,8.2,8.3,8.5,7.1,7.2,7.3,7.4,4.2,4.4,4.6,5.4,6.1,9.7"
Sub-task,Profile read and update endpoints,51,50,,home-feed,"Return and update profile and preferences with validation and duplicate-email handling. Requirements: 8.1,8.3,7.3"
Sub-task,Media catalog listing and custom-item creation endpoints,52,50,,home-feed,"List media (optional type filter); create custom ebook with library entry. Requirements: 8.1,8.3,7.2,6.1"
Sub-task,Library entry and review endpoints,53,50,,home-feed,"Create/update status and activity; save rating/review for finished items; enforce ownership. Requirements: 8.1,8.3,7.1,7.4,9.7"
Sub-task,Activity feed retrieval endpoint,54,50,,home-feed,"Return activity joined to actor and media, newest first, optional type filter, omit unresolved. Requirements: 8.1,4.2,4.4,4.6,5.4"
Sub-task,Validate inputs and standardize typed responses,55,50,,home-feed,"Consistent validation and typed JSON status codes; browser reaches data only via endpoints. Requirements: 8.2,8.3,8.5"
Story,Application shell routing and navigation,60,,LibraryLoop Home Feed Platform,home-feed,"File-based routes, authenticated layout, persistent nav. Requirements: 2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,7.5,13.3,13.5"
Sub-task,Establish routes and authenticated layout,61,60,,home-feed,"Home/Shelves/Catalog/Profile routes, not-found, auth surface; render only active page; hide home regions elsewhere. Requirements: 2.1,2.6,2.7,7.5"
Sub-task,Build persistent navigation,62,60,,home-feed,"Cross-page nav without reload, back/forward, accessible active link, extensible; auth surface for signed-out. Requirements: 2.2,2.3,2.4,2.5,2.8,13.3,13.5"
Story,Home page hero stats panel and filterable feed,70,,LibraryLoop Home Feed Platform,home-feed,"Hero with fallback, mock stats panel, community feed, data-derived media-type filter. Requirements: 3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.1,4.3,4.5,4.7,5.1,5.2,5.3,5.5,5.6,5.7,6.2,6.3,13.3,13.4"
Sub-task,Compose Home page with hero and stats panel,71,70,,home-feed,"Root page for authenticated users; hero backdrop with graceful fallback; name greeting; CTA; mock stats with Goals-ready structure. Requirements: 3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9"
Sub-task,Render community feed below hero and stats,72,70,,home-feed,"Entries with actor, avatar, detail, title, locale time; newest first; reflect new activity; empty state. Requirements: 4.1,4.3,4.5,4.7,13.4"
Sub-task,Implement data-derived media-type filter,73,70,,home-feed,"All plus derived type options; default All; accessible active state; label fallback; persist across refresh; works for non-ebook. Requirements: 5.1,5.2,5.3,5.5,5.6,5.7,6.2,6.3,13.3"
Story,Dedicated section pages,80,,LibraryLoop Home Feed Platform,home-feed,"Shelves, Catalog, Profile pages preserving behavior and persisting through backend. Requirements: 7.1,7.2,7.3,7.4,13.1"
Sub-task,Shelves page,81,80,,home-feed,"Shelf filtering, status actions, review controls; persist via backend to reach Home feed. Requirements: 7.1,7.4,13.1"
Sub-task,Catalog page,82,80,,home-feed,"Genre filtering, add-to-shelf, add custom e-book; persist via backend. Requirements: 7.2,7.4,13.1"
Sub-task,Profile page,83,80,,home-feed,"Editable profile fields and media preferences saved via backend. Requirements: 7.3,13.1"
Story,Integration migration application and tests,90,,LibraryLoop Home Feed Platform,home-feed,"Deploy-time migrations and core/E2E test coverage. Requirements: 12.3,12.4,2.5,2.6,2.8,4.4,4.5,4.6,5.2,5.3,7.4,9.1,9.2,9.5,9.6,9.7"
Sub-task,Wire deploy-time migration application,91,90,,home-feed,"Apply migrations so deployed schema matches expectations during build/release. Requirements: 12.4,12.3"
Sub-task,Add core unit and integration tests,92,90,,home-feed,"Media-type derivation, feed selection, hashing/verification, session revocation, duplicate email, add-to-shelf activity, cross-user authz. Requirements: 5.2,5.3,4.4,4.6,9.1,9.2,9.5,9.6,9.7,7.4"
Sub-task,Add end-to-end navigation and auth-flow coverage,93,90,,home-feed,"Deep-load/refresh routes, unauthenticated redirect, back/forward, add-to-shelf appears in Home feed. Requirements: 2.5,2.6,2.8,4.5"
